taxon_no,taxon_rank,taxon_name,parent_no
339253,superfamily,Aipoceratoidea,13131
314871,family,Litogyroceratidae,128364
128366,family,Solenochilidae,128364
128367,family,Scyphoceratidae,128364
128365,family,Aipoceratidae,128364
316857,family,Cenoceratidae,13131
122369,superfamily,Nautilitaceae,13131
122378,family,Hercoglossidae,122460
122376,family,Paracenoceratidae,122460
93682,family,Nautilidae,122460
122368,family,Eutrephoceratidae,122460
122375,family,Pseudonautilidae,122460
122377,family,Cymatoceratidae,122460
208119,family,Pleuronautilidae,13131
